ma_id,final_score
CD011627,79.502
CD011670,67.018
CD011671,64.85
CD011689,91.52
CD011762,89.28399999999999
CD011778,54.60999999999999
CD011793,59.82000000000001
CD011841,72.178
CD011851,72.878
CD011858,94.68
CD011866,90.8
CD011885,75.376
CD012067,53.19
CD012079,23.006
CD012170,40.332
CD012178,61.226
CD012186,57.30800000000001
CD012214,38.656000000000006
CD012268,36.32600000000001
CD012397,53.588
CD012426,78.12
CD012429,84.162
CD012445,75.222
CD012503,31.892
CD012570,54.43000000000001
CD012572,84.162
CD012586,60.772
CD012623,79.858
CD012635,71.762
CD012642,72.878
CD012693,58.192
CD012712,93.6
CD012718,57.97
CD012757,34.696
CD012850,65.322
CD012891,54.366
CD012905,53.628
CD012925,44.932
CD012942,57.84
CD012967,88.122
CD012993,45.715999999999994
CD013042,61.218
CD013051,46.342
CD013052,91.4
CD013053,62.078
CD013054,65.522
CD013055,43.442
CD013056,16.66
CD013059,21.828000000000003
CD013071,92.0
CD013105,66.71199999999999
CD013197,57.566
CD013232,59.092
CD013255,56.41
CD013278,69.794
CD013284,68.44200000000001
CD013295,60.042
CD013332,56.846000000000004
CD013342,19.32
CD013344,65.322
CD013353,63.94599999999999
CD013355,47.410000000000004
CD013358,58.166
CD013366,96.0
CD013396,92.696
CD013408,35.540000000000006
CD013414,67.37
CD013421,56.042
CD013425,89.368
CD013429,76.46600000000001
CD013445,54.818
CD013456,63.168000000000006
CD013462,54.066
CD013474,41.18
CD013476,94.68
CD013508,89.43799999999999
CD013539,84.362
CD013541,92.0
CD013561,83.376
CD013571,37.88
CD013590,73.548
CD013591,48.796
CD013595,43.442
CD013613,75.0
CD013614,89.6
CD013631,88.122
CD013643,51.244
CD013672,64.00200000000001
CD013715,33.477999999999994
CD013719,27.238
CD013726,84.018
CD013745,39.066
CD013748,32.254000000000005
CD013757,39.994
CD013758,84.832
CD013763,67.322
CD013764,62.400000000000006
CD013773,74.288
CD013774,30.742
CD013781,51.03
CD013789,80.292
CD013800,56.36999999999999
CD013816,63.2
CD013821,73.018
CD013822,44.428
CD013827,68.626
CD013830,90.526
CD013834,62.775999999999996
CD013844,68.626
CD013874,89.43799999999999
CD013875,63.322
CD014040,40.226
CD014089,30.078
CD014145,85.806
CD014300,71.936
CD014428,79.96000000000001
CD014541,50.406000000000006
CD014544,52.034000000000006
CD014585,32.862
CD014594,96.018
CD014617,60.278
CD014624,66.122
CD014666,70.082
CD014678,45.751999999999995
CD014688,56.062
CD014713,62.49000000000001
CD014722,57.188
CD014736,89.43799999999999
CD014741,27.91
CD014758,62.312
CD014762,80.666
CD014763,65.522
CD014769,56.594
CD014792,92.0
CD014803,59.096000000000004
CD014811,89.43799999999999
CD014820,53.961999999999996
CD014833,63.444
CD014844,59.358000000000004
CD014845,62.64
CD014852,66.24000000000001
CD014855,80.986
CD014861,48.742000000000004
CD014869,77.16
CD014871,65.89599999999999
CD014872,77.11
CD014889,41.42400000000001
CD014914,57.29
CD014923,34.696
CD014932,81.85400000000001
CD014935,75.0
CD014937,54.39
CD014941,79.038
CD014944,53.206
CD014959,51.35
CD014960,75.0
CD014964,55.44200000000001
CD014965,86.288
CD014966,64.554
CD014967,92.0
CD015003,13.662
CD015014,40.438
CD015033,17.456
CD015038,52.147999999999996
CD015040,52.028000000000006
CD015042,67.818
CD015064,63.534000000000006
CD015083,79.728
CD015087,79.038
CD015120,83.904
CD015122,44.658
CD015124,93.25999999999999
CD015134,82.062
CD015140,63.842000000000006
CD015145,85.934
CD015160,22.896
CD015192,77.89
CD015213,75.322
CD015215,93.88
CD015219,37.714
CD015229,98.80000000000001
CD015252,40.730000000000004
CD015254,33.480000000000004
CD015255,13.318000000000001
CD015284,28.524
CD015314,57.242000000000004
CD015326,62.722
CD015328,26.43
CD015330,68.25200000000001
CD015331,80.66600000000001
CD015332,91.304
CD015350,86.658
CD015373,70.858
CD015383,60.349999999999994
CD015387,65.242
CD015395,82.508
CD015432,49.870000000000005
CD015443,66.158
CD015448,63.75
CD015476,56.809999999999995
CD015514,75.0
CD015518,61.522000000000006
CD015520,45.514
CD015524,89.43799999999999
CD015532,60.72
CD015536,78.164
CD015551,74.2
CD015573,68.44200000000001
CD015584,60.322
CD015588,67.578
CD015636,83.548
CD015673,84.75
CD015698,94.68
CD015721,46.1
CD015746,73.378
CD015749,75.0
CD015751,94.68
CD015779,62.632
CD015786,76.314
CD015788,20.842
CD015804,92.66
CD015820,73.678
CD015824,76.314
CD015830,35.378
CD015849,50.578
CD015854,83.774
CD015894,66.44200000000001
CD015932,53.046
CD015968,88.122
CD016031,85.194
CD016064,61.574000000000005
CD016119,75.524
CD016120,49.522
CD016131,83.774
CD016136,84.792
CD016147,91.612
CD016148,66.842
CD016211,86.47800000000001
CD016278,87.838
