ma_id,final_score
CD000028,66.72200000000001
CD000143,80.36999999999999
CD000219,48.196
CD000478,72.51
CD000547,57.8
CD001155,89.006
CD001321,50.692
CD001396,66.44200000000001
CD001431,83.508
CD001533,75.44200000000001
CD001552,19.996000000000002
CD001703,72.468
CD001797,73.842
CD001837,57.842
CD001909,95.4
CD001920,88.638
CD002042,85.0
CD002052,88.122
CD002112,56.322
CD002115,37.17
CD002122,46.524
CD002203,32.498
CD002243,43.62
CD002290,54.519999999999996
CD002303,64.09400000000001
CD002971,66.418
CD003129,28.131999999999998
CD003216,71.146
CD003218,63.322
CD003331,65.434
CD003333,67.642
CD003357,46.263999999999996
CD003376,85.842
CD003414,60.276
CD003429,62.16799999999999
CD003477,67.38399999999999
CD003511,86.17
CD003519,46.448
CD003594,86.50200000000001
CD003598,83.494
CD003743,88.238
CD003774,95.4
CD003833,89.43799999999999
CD003962,76.826
CD004184,70.594
CD004307,97.92
CD004376,87.4
CD004406,77.42599999999999
CD004417,91.46
CD004508,53.34
CD004661,86.16999999999999
CD004667,37.727999999999994
CD004703,84.162
CD004736,55.10399999999999
CD004762,25.467999999999996
CD004871,28.676000000000002
CD004904,66.936
CD004925,67.322
CD004953,34.31
CD004992,72.80000000000001
CD005133,20.914
CD005187,71.322
CD005343,55.44200000000001
CD005495,61.574000000000005
CD005566,91.69200000000001
CD005582,94.68
CD005595,91.4
CD005951,75.65599999999999
CD006023,70.638
CD006027,37.954
CD006124,70.794
CD006140,35.768
CD006182,68.792
CD006185,70.156
CD006257,82.71000000000001
CD006404,59.14999999999999
CD006475,55.45400000000001
CD006515,69.452
CD006536,90.888
CD006606,63.504
CD006632,62.03399999999999
CD006689,25.924
CD006712,72.81200000000001
CD006714,66.842
CD006742,83.36200000000001
CD006839,94.68
CD006913,30.71
CD006919,58.147999999999996
CD006942,36.532
CD006982,70.672
CD007024,84.298
CD007026,82.14
CD007079,13.549999999999999
CD007130,57.352
CD007156,39.066
CD007310,92.898
CD007374,88.464
CD007491,78.93
CD007569,76.142
CD007572,58.44200000000001
CD007639,40.032000000000004
CD007674,46.022
CD007784,93.0
CD007809,88.122
CD007859,88.122
CD007872,88.122
CD007895,75.0
CD007896,68.034
CD008063,58.722
CD008145,41.998000000000005
CD008165,29.052
CD008176,61.486
CD008237,53.314
CD008309,27.13
CD008349,41.510000000000005
CD008469,69.38399999999999
CD008493,59.382000000000005
CD008552,63.988
CD008564,58.186
CD008628,67.8
CD008688,87.322
CD008709,68.00999999999999
CD008858,81.0
CD008879,31.404
CD008940,42.238
CD009022,68.748
CD009102,77.468
CD009235,62.122
CD009252,84.18
CD009298,91.4
CD009362,100.0
CD009417,35.141999999999996
CD009508,20.699999999999996
CD009531,63.322
CD009535,40.178
CD009609,57.188
CD009679,82.562
CD009730,49.629999999999995
CD009749,91.4
CD009788,28.86
CD009945,28.131999999999998
CD010001,61.842000000000006
CD010145,72.27799999999999
CD010189,62.31400000000001
CD010216,82.14
CD010290,86.876
CD010441,88.122
CD010533,28.131999999999998
CD010583,71.932
CD010779,75.548
CD010856,58.034
CD010966,95.4
CD011039,63.914
CD011044,91.4
CD011120,85.74799999999999
CD011197,84.968
CD011204,58.647999999999996
CD011305,48.762
CD011330,64.932
CD011381,19.562
CD011535,94.2
CD011575,73.752
CD011600,78.062
CD011626,62.022
