ma_id,p_value
CD000028,0.0827
CD000143,0.8038
CD000219,0.5184
CD000478,0.339
CD000547,0.0028
CD001155,0.9155
CD001321,0.0028
CD001396,0.0
CD001431,0.7984
CD001533,0.4006
CD001552,0.26652052580501073
CD001703,0.1395
CD001797,0.51
CD001837,0.018
CD001909,0.0811
CD001920,0.6146127803323918
CD002042,0.0849
CD002052,0.6146127803323918
CD002112,0.0324
CD002115,0.0011
CD002122,0.2226
CD002203,0.0723
CD002243,0.0001
CD002290,0.0
CD002303,0.8674
CD002971,0.1613
CD003129,0.20132779198300121
CD003216,0.5634141602556502
CD003218,0.0619
CD003331,0.2146
CD003333,0.6146127803323918
CD003357,0.5466
CD003376,0.6347
CD003414,0.3558
CD003429,0.0062
CD003477,0.6417
CD003511,0.4746
CD003519,0.0881
CD003594,0.8997
CD003598,0.815
CD003743,0.7178
CD003774,0.0472
CD003833,0.6146127803323918
CD003962,0.0531
CD004184,0.5339
CD004307,0.9525
CD004376,0.3311
CD004406,0.0686
CD004417,0.0247
CD004508,0.4926
CD004661,0.9411
CD004667,0.6267
CD004703,0.46335514926959664
CD004736,0.0011
CD004762,0.0038
CD004871,0.0001
CD004904,0.46335514926959664
CD004925,0.033
CD004953,0.4322
CD004992,0.005288920683188758
CD005133,0.1071
CD005187,0.637
CD005343,0.0114
CD005495,0.2816
CD005566,0.5722
CD005582,0.6146127803323918
CD005595,0.5945
CD005951,0.4634
CD006023,0.1216
CD006027,0.07728406892558981
CD006124,0.1566
CD006140,0.0545
CD006182,0.009024856646390411
CD006185,0.4735
CD006257,0.9925
CD006404,0.0897
CD006475,0.3371
CD006515,0.5179
CD006536,0.3092
CD006606,0.4173018656083436
CD006632,0.074
CD006689,0.2752
CD006712,0.5503590244742069
CD006714,0.6146127803323918
CD006742,0.6146127803323918
CD006839,0.6146127803323918
CD006913,0.0129
CD006919,0.3323
CD006942,0.33371069574356604
CD006982,0.6146127803323918
CD007024,0.703
CD007026,0.2644
CD007079,0.0159
CD007130,0.2309
CD007156,0.07775068790646533
CD007310,0.9797
CD007374,0.5967
CD007491,0.4626
CD007569,0.6291
CD007572,0.0862
CD007639,0.3556
CD007674,0.0179
CD007784,0.0103
CD007809,0.6146127803323918
CD007859,0.6146127803323918
CD007872,0.6146127803323918
CD007895,0.6146127803323918
CD007896,0.0986
CD008063,0.0014
CD008145,0.0009
CD008165,0.4447
CD008176,0.0901
CD008237,0.1432
CD008309,0.21745142642518234
CD008349,0.2235
CD008469,0.9909
CD008493,0.19
CD008552,0.0352
CD008564,0.0334
CD008628,0.4968
CD008688,0.6146127803323918
CD008709,0.3918
CD008858,0.2195
CD008879,0.199
CD008940,0.33371069574356604
CD009022,0.7472
CD009102,0.8676
CD009235,0.1314
CD009252,0.7221
CD009298,0.7737
CD009362,0.9311
CD009417,0.0943
CD009508,0.1183
CD009531,0.0273
CD009535,0.2507
CD009609,0.8581
CD009679,0.6985
CD009730,0.5296
CD009749,0.5237
CD009788,0.1808
CD009945,0.20132779198300121
CD010001,0.1853
CD010145,0.0466
CD010189,0.4409
CD010216,0.7599
CD010290,0.5168
CD010441,0.6146127803323918
CD010533,0.20132779198300121
CD010583,0.4285550633506192
CD010779,0.6787
CD010856,0.4804
CD010966,0.1487
CD011039,0.4515
CD011044,0.8801
CD011120,0.2753
CD011197,0.4257
CD011204,0.1399
CD011305,0.6146127803323918
CD011330,0.37406279749088256
CD011381,0.1306
CD011535,0.0107
CD011575,0.49791260300006934
CD011600,0.3065
CD011626,0.1857
CD011627,0.8734
CD011670,0.1443
CD011671,0.7494
CD011689,0.1106
CD011762,0.1856
CD011778,0.0596
CD011793,0.1808
CD011841,0.6146127803323918
CD011851,0.6146127803323918
CD011858,0.6146127803323918
CD011866,0.4896
CD011885,0.6566
CD012067,0.5159
CD012079,0.0
CD012170,0.3648
CD012178,0.7107
CD012186,0.2554
CD012214,0.08108162081527936
CD012268,0.5148
CD012397,0.4046567619272863
CD012426,0.6146127803323918
CD012429,0.6146127803323918
CD012445,0.7631
CD012503,0.0188
CD012570,0.2215
CD012572,0.33371069574356604
CD012586,0.0187
CD012623,0.7214
CD012635,0.9348
CD012642,0.6146127803323918
CD012693,0.9918
CD012712,0.0001
CD012718,0.5404
CD012757,0.11654441490622203
CD012850,0.7199
CD012891,0.0719
CD012905,0.5991
CD012925,0.0413
CD012942,0.6446
CD012967,0.6146127803323918
CD012993,0.0163
