ma_id,p_value
CD013042,0.0098
CD013051,0.0006
CD013052,0.6916
CD013053,0.01794909059156602
CD013054,0.0003
CD013055,0.05019091187903002
CD013056,0.3449425788286167
CD013059,0.7464
CD013071,0.5883
CD013105,0.1897
CD013197,0.4738
CD013232,0.1424
CD013255,0.0255
CD013278,0.0832
CD013284,0.6146127803323918
CD013295,0.1474
CD013332,0.1874
CD013342,0.0366
CD013344,0.2404
CD013353,0.3094
CD013355,0.6146127803323918
CD013358,0.4675
CD013366,0.9266
CD013396,0.8783
CD013408,0.7768
CD013414,0.7373
CD013421,0.0374
CD013425,0.0024
CD013429,0.00279993932216982
CD013445,0.0001
CD013456,0.3186
CD013462,0.2421
CD013474,0.3467
CD013476,0.6146127803323918
CD013508,0.6146127803323918
CD013539,0.2869
CD013541,0.7732
CD013561,0.8231
CD013571,0.08706060341734023
CD013590,0.2879
CD013591,0.1689
CD013595,0.05019091187903002
CD013613,0.6146127803323918
CD013614,0.0256
CD013631,0.6146127803323918
CD013643,0.9926
CD013672,0.2289
CD013715,0.0261
CD013719,0.17880471000334497
CD013726,0.664
CD013745,0.07775068790646533
CD013748,0.6844
CD013757,0.631
CD013758,0.6146127803323918
CD013763,0.0078
CD013764,0.6146127803323918
CD013773,0.5874
CD013774,0.13361440253771617
CD013781,0.0518
CD013789,0.7653
CD013800,0.5417
CD013816,0.46335514926959664
CD013821,0.8108
CD013822,0.0005
CD013827,0.3775
CD013830,0.4283
CD013834,0.9636
CD013844,0.5663
CD013874,0.6146127803323918
CD013875,0.4547
CD014040,0.1709
CD014089,0.906
CD014145,0.7693
CD014300,0.965
CD014428,0.2188
CD014541,0.6305
CD014544,0.8703
CD014585,0.1693
CD014594,0.4203
CD014617,0.6146127803323918
CD014624,0.0314
CD014666,0.9625
CD014678,0.418
CD014688,0.4173018656083436
CD014713,0.6939
CD014722,0.4204
CD014736,0.6146127803323918
CD014741,0.1309
CD014758,0.3806
CD014762,0.7263
CD014763,0.0165
CD014769,0.8709
CD014792,0.6602
CD014803,0.8663
CD014811,0.6146127803323918
CD014820,0.5537
CD014833,0.2236
CD014844,0.3326
CD014845,0.0173
CD014852,0.5861356687202333
CD014855,0.714
CD014861,0.5121101298389525
CD014869,0.6591
CD014871,0.9334
CD014872,0.5029
CD014889,0.625
CD014914,0.0105
CD014923,0.11654441490622203
CD014932,0.7725
CD014935,0.6146127803323918
CD014937,0.0027
CD014941,0.002164600962786478
CD014944,0.4285550633506192
CD014959,0.1044
CD014960,0.6146127803323918
CD014964,0.0
CD014965,0.8606
CD014966,0.8622
CD014967,0.4401
CD015003,0.0175
CD015014,0.0743
CD015033,0.3922436624680987
CD015038,0.2764
CD015040,0.0303
CD015042,0.1187
CD015064,0.5411260244716685
CD015083,0.2275
CD015087,0.3814
CD015120,0.0421
CD015122,0.0285
CD015124,0.1867
CD015134,0.8153
CD015140,0.828
CD015145,0.37406279749088256
CD015160,0.20132779198300121
CD015192,0.8267
CD015213,0.9239
CD015215,0.6146127803323918
CD015219,0.1616
CD015229,0.0673
CD015252,0.0208
CD015254,0.4914
CD015255,0.0195
CD015284,0.2242
CD015314,0.0046
CD015326,0.4918
CD015328,0.1396
CD015330,0.5279
CD015331,0.6217
CD015332,0.6862
CD015350,0.9268
CD015373,0.6619
CD015383,0.6572
CD015387,0.0487
CD015395,0.001272004379237801
CD015432,0.1709
CD015443,0.498
CD015448,0.0851
CD015476,0.4264
CD015514,0.6146127803323918
CD015518,0.7313
CD015520,0.5169
CD015524,0.6146127803323918
CD015532,0.0548
CD015536,0.7595
CD015551,0.6146127803323918
CD015573,0.6146127803323918
CD015584,0.0276
CD015588,0.7089
CD015636,0.9528
CD015673,0.5471
CD015698,0.6146127803323918
CD015721,0.3412
CD015746,0.366
CD015749,0.6146127803323918
CD015751,0.6146127803323918
CD015779,0.0831
CD015786,0.1273
CD015788,0.0616
CD015804,0.9256
CD015820,0.6146127803323918
CD015824,0.9871
CD015830,0.10959858339911599
CD015849,0.5326
CD015854,0.8335
CD015894,0.9506
CD015932,0.712
CD015968,0.6146127803323918
CD016031,0.9683
CD016064,0.0269
CD016119,0.1768
CD016120,0.5709406718028882
CD016131,0.6289
CD016136,0.2934
CD016147,0.5596689271994115
CD016148,0.6146127803323918
CD016211,0.2579
CD016278,0.6146127803323918
